ID,MeanH,MeanA,DrawProb,League,LeagueRanking,NeutralField,rbS.FinalScoreH,rbS.FinalScoreA
57503,1.187,1.273,0.299,Swiss,3,0,2,2
57518,2.038,1.042,0.232,Bundesliga,1,0,1,1
57523,1.257,1.403,0.297,Bundesliga,1,0,2,3
57528,1.319,1.161,NA,Australia,4,0,2,0
57533,1.231,1.069,NA,French 1,1,0,1,4
57538,1.364,1.606,NA,Belgian,3,0,2,1
57553,1.568,1.382,NA,Eng. Conf.,5,0,1,0
57558,0.824,1.704,NA,Serie A,1.5,0,0,2
57563,1.57,1.31,NA,Belgian,3,0,1,3
57568,1.045,1.026,NA,French 1,1,0,0,2
57768,1.391,0.929,0.28,Eng L1      ,3,0,0,2
57888,1.121,1.269,0.292,Eng L1      ,3,0,1,1
57898,1.403,1.117,0.283,Eng L1      ,3,0,1,0
57903,1.609,0.851,0.256,Eng L1      ,3,0,2,0
57928,1.952,1.038,0.235,Eng. Conf.,5,0,1,0
57938,1.107,1.792,0.263,Scot. FA Cup,5,0,0,2
57943,1.267,1.443,NA,Turkey SL,3,0,0,4
57948,2.035,0.865,NA,Italy Cup,2.5,0,1,0
57958,1.467,1.083,NA,Italy Cup,2.5,0,2,1
57963,1.706,0.864,NA,Italy Cup,2.5,0,1,2
57968,0.767,1.99,NA,Serie A,1.5,0,0,1
57973,1.437,1.093,0.304,Spain Cup,2,0,2,1
57978,1.281,1.309,NA,Italy Cup,2.5,0,2,3
57983,1.997,0.822,NA,Spain Cup,2,0,1,0
57988,1.557,0.913,0.284,Spain Cup,2,0,3,2
57993,1.337,0.973,NA,Spain Cup,2,0,3,3
58098,2.068,1.412,NA,Carioca,5,0,2,0
58143,2.103,0.656,NA,Portugal Cup,3,0,4,1
58148,1.796,0.653,NA,Portugal Cup,3,0,2,1
58158,0.952,1.218,0.307,Portugal Primeira Liga,2,0,1,1
58163,1.75,0.861,NA,Portugal 2,4,0,1,0
58168,2.458,0.431,0.14,Portugal Primeira Liga,2,0,4,0
58173,1.965,0.584,0.205,Portugal Primeira Liga,2,0,0,0
58178,0.986,1.064,NA,Portugal 2,4,0,2,1
58183,1.512,1.028,NA,Portugal 2,4,0,4,0
58188,1.521,1.049,NA,Portugal 2,4,0,2,2
58193,1.261,0.809,NA,Portugal 2,4,0,0,0
58198,1.346,0.914,NA,Portugal 2,4,0,3,1
58203,1.279,0.951,0.312,Portugal Primeira Liga,2,0,4,3
58208,1.161,1.059,0.316,Portugal Primeira Liga,2,0,1,0
58213,1.477,0.743,0.277,Portugal Primeira Liga,2,0,2,1
58218,0.896,1.323,0.298,Portugal Primeira Liga,2,0,1,0
58223,1.317,0.873,0.297,Portugal Primeira Liga,2,0,1,2
58228,1.495,1.015,0.283,Mexican,3,0,4,0
58233,1.595,1.075,0.281,Mexican,3,0,0,0
58238,1.243,1.587,0.28,Mexican,3,0,1,1
58243,1.721,0.949,0.263,Mexican,3,0,1,0
